no,name,start_year,end_year
1,schuj103,1969,1969
2,brisd801,1970,1972
3,mcmir101,1972,1972
4,crand102,1972,1975
5,kuenh101,1975,1975
6,grama101,1976,1977
7,bambg101,1978,1980
8,rodgb102,1980,1982
8.1,kuenh101,1982,1983
9,lachr101,1984,1984
9.1,bambg101,1985,1986
10,trebt801,1986,1991
11,garnp001,1992,1999
12,lefej101,1999,1999
13,loped001,2000,2002
14,roysj001,2002,2002
15,yoste001,2003,2008
16,sveud001,2008,2008
17,machk101,2009,2010
18,roenr001,2011,2015
19,counc001,2015,2023
20,murpp801,2024,,